Date,Confirmed
2020-05-01,81
2020-05-02,81
2020-05-03,84
2020-05-04,84
2020-05-05,92
2020-05-06,108
2020-05-07,112
2020-05-08,115
2020-05-09,117
2020-05-10,117
2020-05-11,126
2020-05-12,127
2020-05-13,129
2020-05-14,130
2020-05-15,130
2020-05-16,135
2020-05-17,138
2020-05-18,142
2020-05-19,148
2020-05-20,149
2020-05-21,153
2020-05-22,156
2020-05-23,160
2020-05-24,162
2020-05-25,162
2020-05-26,171
2020-05-27,172
2020-05-28,173
2020-05-29,173
2020-05-30,173
2020-05-31,177
2020-06-01,181
2020-06-02,184
2020-06-03,188
2020-06-04,192
2020-06-05,192
2020-06-06,192
2020-06-07,192
2020-06-08,194
2020-06-09,197
2020-06-10,198
2020-06-11,199
2020-06-12,203
2020-06-13,204
2020-06-14,206
2020-06-15,212
2020-06-16,214
2020-06-17,218
2020-06-18,221
2020-06-19,222
2020-06-20,224
2020-06-21,224
2020-06-22,228
2020-06-23,228
2020-06-24,229
2020-06-25,231
2020-06-26,237
2020-06-27,237
2020-06-28,237
2020-06-29,242
2020-06-30,249
2020-07-01,251
2020-07-02,264
2020-07-03,282
2020-07-04,282
2020-07-05,289
2020-07-06,296
2020-07-07,306
2020-07-08,313
2020-07-09,313
2020-07-10,368
2020-07-11,368
2020-07-12,368
2020-07-13,378
2020-07-14,395
2020-07-15,410
2020-07-16,417
2020-07-17,423
2020-07-18,451
2020-07-19,475
2020-07-20,495
2020-07-21,516
2020-07-22,532
2020-07-23,544
2020-07-24,568
2020-07-25,592
2020-07-26,605
2020-07-27,610
2020-07-28,618
2020-07-29,633
2020-07-30,686
2020-07-31,690
2020-08-01,694
2020-08-02,695
2020-08-03,695
2020-08-04,700
2020-08-05,705
2020-08-06,714
2020-08-07,724
2020-08-08,729
2020-08-09,729
2020-08-10,736
2020-08-11,759
2020-08-12,777
2020-08-13,777
2020-08-14,796
2020-08-15,802
2020-08-16,813
2020-08-17,844
2020-08-18,847
2020-08-19,856
2020-08-20,878
2020-08-21,881
2020-08-22,881
2020-08-23,881
2020-08-24,881
2020-08-25,881
2020-08-26,882
2020-08-27,900
2020-08-28,900
2020-08-29,910
2020-08-30,917
2020-08-31,917
2020-09-01,922
2020-09-02,922
2020-09-03,922
2020-09-04,922
2020-09-05,926
2020-09-06,929
2020-09-07,929
2020-09-08,929
2020-09-09,929
2020-09-10,929
2020-09-11,929
2020-09-12,929
2020-09-13,930
2020-09-14,938
2020-09-15,939
2020-09-16,939
2020-09-17,943
2020-09-18,943
2020-09-19,943
2020-09-20,943
2020-09-21,943
2020-09-22,943
2020-09-23,943
2020-09-24,943
2020-09-25,947
2020-09-26,947
2020-09-27,947
2020-09-28,947
2020-09-29,947
2020-09-30,949
2020-10-01,949
2020-10-02,949
2020-10-03,949
2020-10-04,949
2020-10-05,949
2020-10-06,951
2020-10-07,951
2020-10-08,951
2020-10-09,952
2020-10-10,952
2020-10-11,952
2020-10-12,952
2020-10-13,952
2020-10-14,952
2020-10-15,952
2020-10-16,952
2020-10-17,956
2020-10-18,956
2020-10-19,956
2020-10-20,956
2020-10-21,956
2020-10-22,959
2020-10-23,959
2020-10-24,959
2020-10-25,959
2020-10-26,959
2020-10-28,959
2020-10-29,959
2020-10-30,959
2020-10-31,959
2020-11-01,959
2020-11-02,959
2020-11-03,959
2020-11-04,959
2020-11-05,959
2020-11-06,959
2020-11-07,959
2020-11-08,959
2020-11-09,959
2020-11-10,959
2020-11-11,959
2020-11-12,959
2020-11-13,959
2020-11-14,959
2020-11-15,959
2020-11-16,959
2020-11-17,959
2020-11-18,959
2020-11-19,959
2020-11-20,959
2020-11-21,959
2020-11-22,959
2020-11-23,959
2020-11-24,959
2020-11-25,959
2020-11-26,959
2020-11-27,959
2020-11-28,959
2020-11-29,959
2020-11-30,959
2020-12-01,959
2020-12-02,959
2020-12-03,959
2020-12-04,959
2020-12-05,959
2020-12-06,959
2020-12-07,959
2020-12-08,959
2020-12-09,959
2020-12-10,959
2020-12-11,959
2020-12-12,959
2020-12-13,959
2020-12-14,959
2020-12-15,959
2020-12-16,959
2020-12-17,959
2020-12-18,959
2020-12-19,959
2020-12-20,959
2020-12-21,959
2020-12-22,959
2020-12-23,959
2020-12-24,959
2020-12-25,959
2020-12-26,959
2020-12-27,959
2020-12-28,959
2020-12-29,959
2021-01-03,959
2021-01-04,959
2021-01-05,959
2021-01-06,959
2021-01-07,959
2021-01-08,959
2021-01-09,959
2021-01-10,959
2021-01-11,959
2021-01-12,959
2021-01-13,959
2021-01-14,959
2021-01-15,959
2021-01-16,959
2021-01-17,959
2021-01-18,959
2021-01-19,959
2021-01-20,959
2021-01-21,959
2021-01-22,959
2021-01-23,959
2021-01-24,959
2021-01-25,959
2021-01-26,959
2021-01-27,959
2021-01-28,959
2021-01-29,959
2021-01-30,959
2021-01-31,959
